sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,15154,369,2,5074,702,777.3245262304017,0.002903523822093177,971.7217056748958,2387.4128326386663,2515.854823808895
TOTAL,15154,369,2,5074,702,777.3245262304017,0.002903523822093177,971.7217056748958,2387.4128326386663,2515.854823808895
