sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,15154,369,89,702,2,5074,0.002903523822093177,971.7217056748958,2387.4128326386663,777.3245262304017
TOTAL,15154,369,89,702,2,5074,0.002903523822093177,971.7217056748958,2387.4128326386663,777.3245262304017
