Number of active threads,Average HTTP Request,HTTP Request
477,,250.77272727272728
478,,344.2916666666667
479,,642.75
480,,341.35714285714283
481,,2357.3333333333335
484,,603.8787878787879
485,,399.6923076923077
486,,329.42857142857144
487,,812.0
488,,798.0
489,,914.8
490,,3544.0
491,,3574.0
492,,1345.0
493,,1336.3333333333333
494,,3631.0
495,,860.6
496,,526.375
497,,709.2
498,,3372.0
499,,3452.0
501,,3448.0
502,,3417.0
503,,1264.6666666666667
504,,3397.0
505,,3396.0
506,,3409.0
507,,3508.0
508,,3518.0
510,,3477.0
511,,3419.0
512,,1747.0
513,,1926.0
514,,3410.0
516,,2503.6666666666665
517,,819.4
518,,958.5
519,,3404.0
520,,423.5
521,,3378.0
522,,1040.4285714285713
523,,844.0
524,,3357.0
525,,3358.0
526,,1793.5
527,,3471.0
528,,3328.0
529,,1183.6666666666667
530,,918.75
532,,3359.0
533,,1684.5
534,,1877.5
535,,823.0
536,,3299.0
537,,1269.3333333333333
538,,3295.0
539,,1935.5
540,,754.6
541,,1817.5
543,,3345.5
544,,3470.5
545,,3431.0
547,,2378.3333333333335
548,,1167.0
550,,3304.0
552,,3342.0
553,,3289.0
554,,1259.6666666666667
555,,1736.5
556,,3367.0
557,,3339.0
558,,3270.0
559,,3300.0
560,,1720.0
561,,696.1666666666666
562,,3323.0
564,,2509.0
565,,3305.0
566,,3266.0
567,,931.0
568,,3299.0
569,,1704.0
570,,1682.5
571,,3248.0
572,,3294.0
573,,3295.0
574,,3218.0
575,,3272.0
576,,1216.6666666666667
577,,3243.0
578,,3239.0
579,,1662.0
580,,1707.5
581,,1690.5
582,,1721.5
583,,1725.0
584,,3336.0
585,,3268.0
586,,3333.0
587,,3213.0
588,,3264.0
589,,3345.0
590,,3301.0
591,,1309.6666666666667
592,,3242.5
593,,3331.0
594,,1727.5
595,,1673.5
596,,1789.5
597,,3179.0
598,,3243.0
599,,3192.0
601,,3263.5
602,,1714.5
603,,1285.3333333333333
604,,3186.0
605,,1742.5
606,,3291.0
607,,3381.5
608,,1766.5
609,,3394.0
610,,1690.0
611,,3339.0
